,Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
1548,2012,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73,Real GDP,Trump,Donald Trump,2017-2021,2.77,0.77
1554,2012,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73,Real GDP,Biden,Joe Biden,2021-2023,3.48,1.73
1560,2012,INDIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93,Real GDP,Obama 1,Barack Obama,2009-2013,11.15,2.71
1566,2012,INDIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93,Real GDP,Obama 2,Barack Obama,2013-2017,7.3,1.79
1572,2012,INDIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93,Real GDP,Trump,Donald Trump,2017-2021,8.28,2.08
1578,2012,INDIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.13,"OBAMA, BARACK H.",DEMOCRAT,43.93,Real GDP,Biden,Joe Biden,2021-2023,4.43,2.2
1584,2012,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.22
1590,2012,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18,Real GDP,Obama 2,Barack Obama,2013-2017,9.39,2.29
1596,2012,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18,Real GDP,Trump,Donald Trump,2017-2021,7.49,1.89
1602,2012,IOWA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.99,"ROMNEY, MITT",REPUBLICAN,46.18,Real GDP,Biden,Joe Biden,2021-2023,0.45,0.22
1608,2012,KANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99,Real GDP,Obama 1,Barack Obama,2009-2013,6.2,1.52
1614,2012,KANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99,Real GDP,Obama 2,Barack Obama,2013-2017,10.33,2.49
1620,2012,KANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99,Real GDP,Trump,Donald Trump,2017-2021,3.91,0.98
1626,2012,KANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.71,"OBAMA, BARACK H.",DEMOCRAT,37.99,Real GDP,Biden,Joe Biden,2021-2023,6.37,3.14
1632,2012,KENTUCKY,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8,Real GDP,Obama 1,Barack Obama,2009-2013,10.43,2.52
1638,2012,KENTUCKY,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8,Real GDP,Obama 2,Barack Obama,2013-2017,3.49,0.86
1644,2012,KENTUCKY,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8,Real GDP,Trump,Donald Trump,2017-2021,5.68,1.43
1650,2012,KENTUCKY,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.49,"OBAMA, BARACK H.",DEMOCRAT,37.8,Real GDP,Biden,Joe Biden,2021-2023,4.32,2.14
1656,2012,LOUISIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58,Real GDP,Obama 1,Barack Obama,2009-2013,-2.23,-0.5
1662,2012,LOUISIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58,Real GDP,Obama 2,Barack Obama,2013-2017,1.42,0.37
1668,2012,LOUISIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58,Real GDP,Trump,Donald Trump,2017-2021,-0.83,-0.12
1674,2012,LOUISIANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.78,"OBAMA, BARACK H.",DEMOCRAT,40.58,Real GDP,Biden,Joe Biden,2021-2023,4.53,2.28
1680,2012,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33,Real GDP,Obama 1,Barack Obama,2009-2013,0.41,0.11
1686,2012,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33,Real GDP,Obama 2,Barack Obama,2013-2017,6.76,1.65
1692,2012,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33,Real GDP,Trump,Donald Trump,2017-2021,12.92,3.1
1698,2012,MAINE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,55.37,"ROMNEY, MITT",REPUBLICAN,40.33,Real GDP,Biden,Joe Biden,2021-2023,5.7,2.81
1704,2012,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9,Real GDP,Obama 1,Barack Obama,2009-2013,8.43,2.06
1710,2012,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9,Real GDP,Obama 2,Barack Obama,2013-2017,9.62,2.33
1716,2012,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9,Real GDP,Trump,Donald Trump,2017-2021,1.81,0.49
1722,2012,MARYLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.97,"ROMNEY, MITT",REPUBLICAN,35.9,Real GDP,Biden,Joe Biden,2021-2023,3.91,1.94
1728,2012,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32,Real GDP,Obama 1,Barack Obama,2009-2013,10.35,2.5
1734,2012,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32,Real GDP,Obama 2,Barack Obama,2013-2017,8.86,2.15
1740,2012,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32,Real GDP,Trump,Donald Trump,2017-2021,12.41,3.0
1746,2012,MASSACHUSETTS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.34,"ROMNEY, MITT",REPUBLICAN,37.32,Real GDP,Biden,Joe Biden,2021-2023,3.29,1.63
1752,2012,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71,Real GDP,Obama 1,Barack Obama,2009-2013,13.57,3.24
1758,2012,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71,Real GDP,Obama 2,Barack Obama,2013-2017,6.84,1.67
1764,2012,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71,Real GDP,Trump,Donald Trump,2017-2021,5.0,1.28
1770,2012,MICHIGAN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.21,"ROMNEY, MITT",REPUBLICAN,44.71,Real GDP,Biden,Joe Biden,2021-2023,4.5,2.23
1776,2012,MINNESOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96,Real GDP,Obama 1,Barack Obama,2009-2013,11.08,2.66
1782,2012,MINNESOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96,Real GDP,Obama 2,Barack Obama,2013-2017,7.56,1.84
1788,2012,MINNESOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96,Real GDP,Trump,Donald Trump,2017-2021,6.55,1.65
1794,2012,MINNESOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,44.96,"ROMNEY, MITT",REPUBLICAN,44.96,Real GDP,Biden,Joe Biden,2021-2023,3.43,1.7
1800,2012,MISSISSIPPI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79,Real GDP,Obama 1,Barack Obama,2009-2013,3.49,0.86
1806,2012,MISSISSIPPI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79,Real GDP,Obama 2,Barack Obama,2013-2017,1.15,0.29
1812,2012,MISSISSIPPI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79,Real GDP,Trump,Donald Trump,2017-2021,4.89,1.22
1818,2012,MISSISSIPPI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.29,"OBAMA, BARACK H.",DEMOCRAT,43.79,Real GDP,Biden,Joe Biden,2021-2023,3.35,1.66
1824,2012,MISSOURI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38,Real GDP,Obama 1,Barack Obama,2009-2013,4.3,1.07
1830,2012,MISSOURI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38,Real GDP,Obama 2,Barack Obama,2013-2017,3.06,0.76
1836,2012,MISSOURI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38,Real GDP,Trump,Donald Trump,2017-2021,6.52,1.62
1842,2012,MISSOURI,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.76,"OBAMA, BARACK H.",DEMOCRAT,44.38,Real GDP,Biden,Joe Biden,2021-2023,5.1,2.52
1848,2012,MONTANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7,Real GDP,Obama 1,Barack Obama,2009-2013,10.2,2.46
1854,2012,MONTANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7,Real GDP,Obama 2,Barack Obama,2013-2017,7.44,1.83
1860,2012,MONTANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7,Real GDP,Trump,Donald Trump,2017-2021,9.97,2.44
1866,2012,MONTANA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,55.35,"OBAMA, BARACK H.",DEMOCRAT,41.7,Real GDP,Biden,Joe Biden,2021-2023,7.63,3.75
1872,2012,NEBRASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03,Real GDP,Obama 1,Barack Obama,2009-2013,11.4,2.76
1878,2012,NEBRASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03,Real GDP,Obama 2,Barack Obama,2013-2017,10.63,2.56
1884,2012,NEBRASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03,Real GDP,Trump,Donald Trump,2017-2021,9.51,2.33
1890,2012,NEBRASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.8,"OBAMA, BARACK H.",DEMOCRAT,38.03,Real GDP,Biden,Joe Biden,2021-2023,7.47,3.67
1896,2012,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68,Real GDP,Obama 1,Barack Obama,2009-2013,3.03,0.75
1902,2012,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68,Real GDP,Obama 2,Barack Obama,2013-2017,12.9,3.09
1908,2012,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68,Real GDP,Trump,Donald Trump,2017-2021,11.81,2.98
1914,2012,NEVADA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.36,"ROMNEY, MITT",REPUBLICAN,45.68,Real GDP,Biden,Joe Biden,2021-2023,7.09,3.49
1920,2012,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4,Real GDP,Obama 1,Barack Obama,2009-2013,7.1,1.74
1926,2012,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4,Real GDP,Obama 2,Barack Obama,2013-2017,7.52,1.83
1932,2012,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4,Real GDP,Trump,Donald Trump,2017-2021,10.8,2.66
1938,2012,NEW HAMPSHIRE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.98,"ROMNEY, MITT",REPUBLICAN,46.4,Real GDP,Biden,Joe Biden,2021-2023,3.91,1.94
1944,2012,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62,Real GDP,Obama 1,Barack Obama,2009-2013,4.5,1.12
1950,2012,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62,Real GDP,Obama 2,Barack Obama,2013-2017,3.35,0.83
1956,2012,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62,Real GDP,Trump,Donald Trump,2017-2021,7.18,1.81
1962,2012,NEW JERSEY,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.34,"ROMNEY, MITT",REPUBLICAN,40.62,Real GDP,Biden,Joe Biden,2021-2023,4.97,2.45
1968,2012,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84,Real GDP,Obama 1,Barack Obama,2009-2013,-0.8,-0.2
1974,2012,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84,Real GDP,Obama 2,Barack Obama,2013-2017,3.45,0.86
1980,2012,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84,Real GDP,Trump,Donald Trump,2017-2021,8.27,2.05
1986,2012,NEW MEXICO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.99,"ROMNEY, MITT",REPUBLICAN,42.84,Real GDP,Biden,Joe Biden,2021-2023,9.32,4.58
1992,2012,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24,Real GDP,Obama 1,Barack Obama,2009-2013,8.87,2.16
1998,2012,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24,Real GDP,Obama 2,Barack Obama,2013-2017,8.19,1.99
2004,2012,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24,Real GDP,Trump,Donald Trump,2017-2021,6.86,1.71
2010,2012,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.76,"ROMNEY, MITT",REPUBLICAN,31.24,Real GDP,Biden,Joe Biden,2021-2023,3.17,1.57
2016,2012,NORTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35,Real GDP,Obama 1,Barack Obama,2009-2013,5.03,1.24
2022,2012,NORTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35,Real GDP,Obama 2,Barack Obama,2013-2017,9.92,2.39
2028,2012,NORTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35,Real GDP,Trump,Donald Trump,2017-2021,9.77,2.39
2034,2012,NORTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,50.39,"OBAMA, BARACK H.",DEMOCRAT,48.35,Real GDP,Biden,Joe Biden,2021-2023,6.31,3.1
2040,2012,NORTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7,Real GDP,Obama 1,Barack Obama,2009-2013,52.04,11.3
2046,2012,NORTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7,Real GDP,Obama 2,Barack Obama,2013-2017,3.36,1.03
2052,2012,NORTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7,Real GDP,Trump,Donald Trump,2017-2021,-0.2,0.02
2058,2012,NORTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,58.32,"OBAMA, BARACK H.",DEMOCRAT,38.7,Real GDP,Biden,Joe Biden,2021-2023,6.96,3.51
2064,2012,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69,Real GDP,Obama 1,Barack Obama,2009-2013,9.45,2.29
2070,2012,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69,Real GDP,Obama 2,Barack Obama,2013-2017,8.15,1.98
2076,2012,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69,Real GDP,Trump,Donald Trump,2017-2021,5.87,1.48
2082,2012,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.67,"ROMNEY, MITT",REPUBLICAN,47.69,Real GDP,Biden,Joe Biden,2021-2023,2.8,1.39
2088,2012,OKLAHOMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23,Real GDP,Obama 1,Barack Obama,2009-2013,12.26,2.95
2094,2012,OKLAHOMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23,Real GDP,Obama 2,Barack Obama,2013-2017,9.34,2.3
2100,2012,OKLAHOMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23,Real GDP,Trump,Donald Trump,2017-2021,0.83,0.24
2106,2012,OKLAHOMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,66.77,"OBAMA, BARACK H.",DEMOCRAT,33.23,Real GDP,Biden,Joe Biden,2021-2023,7.1,3.56
2112,2012,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15,Real GDP,Obama 1,Barack Obama,2009-2013,7.15,1.75
2118,2012,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15,Real GDP,Obama 2,Barack Obama,2013-2017,18.95,4.44
2124,2012,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15,Real GDP,Trump,Donald Trump,2017-2021,10.99,2.67
2130,2012,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.24,"ROMNEY, MITT",REPUBLICAN,42.15,Real GDP,Biden,Joe Biden,2021-2023,4.64,2.3
2136,2012,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.21
2142,2012,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68,Real GDP,Obama 2,Barack Obama,2013-2017,7.12,1.73
2148,2012,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68,Real GDP,Trump,Donald Trump,2017-2021,1.48,0.42
2154,2012,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.08,"ROMNEY, MITT",REPUBLICAN,46.68,Real GDP,Biden,Joe Biden,2021-2023,4.4,2.18
2160,2012,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24,Real GDP,Obama 1,Barack Obama,2009-2013,4.69,1.16
2166,2012,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24,Real GDP,Obama 2,Barack Obama,2013-2017,3.04,0.75
2172,2012,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24,Real GDP,Trump,Donald Trump,2017-2021,3.46,0.89
2178,2012,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.7,"ROMNEY, MITT",REPUBLICAN,35.24,Real GDP,Biden,Joe Biden,2021-2023,4.07,2.01
2184,2012,SOUTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09,Real GDP,Obama 1,Barack Obama,2009-2013,8.73,2.12
2190,2012,SOUTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09,Real GDP,Obama 2,Barack Obama,2013-2017,12.39,2.96
2196,2012,SOUTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09,Real GDP,Trump,Donald Trump,2017-2021,9.25,2.27
2202,2012,SOUTH CAROLINA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.56,"OBAMA, BARACK H.",DEMOCRAT,44.09,Real GDP,Biden,Joe Biden,2021-2023,6.73,3.31
2208,2012,SOUTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87,Real GDP,Obama 1,Barack Obama,2009-2013,9.84,2.4
2214,2012,SOUTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87,Real GDP,Obama 2,Barack Obama,2013-2017,6.18,1.51
2220,2012,SOUTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87,Real GDP,Trump,Donald Trump,2017-2021,7.56,1.86
2226,2012,SOUTH DAKOTA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.89,"OBAMA, BARACK H.",DEMOCRAT,39.87,Real GDP,Biden,Joe Biden,2021-2023,3.17,1.59
2232,2012,TENNESSEE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08,Real GDP,Obama 1,Barack Obama,2009-2013,10.8,2.6
2238,2012,TENNESSEE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08,Real GDP,Obama 2,Barack Obama,2013-2017,11.64,2.79
2244,2012,TENNESSEE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08,Real GDP,Trump,Donald Trump,2017-2021,12.61,3.07
2250,2012,TENNESSEE,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,59.48,"OBAMA, BARACK H.",DEMOCRAT,39.08,Real GDP,Biden,Joe Biden,2021-2023,5.46,2.7
2256,2012,TEXAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38,Real GDP,Obama 1,Barack Obama,2009-2013,17.6,4.14
2262,2012,TEXAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38,Real GDP,Obama 2,Barack Obama,2013-2017,10.29,2.49
2268,2012,TEXAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38,Real GDP,Trump,Donald Trump,2017-2021,12.7,3.08
2274,2012,TEXAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,57.17,"OBAMA, BARACK H.",DEMOCRAT,41.38,Real GDP,Biden,Joe Biden,2021-2023,11.6,5.66
2280,2012,UTAH,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75,Real GDP,Obama 1,Barack Obama,2009-2013,10.74,2.59
2286,2012,UTAH,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75,Real GDP,Obama 2,Barack Obama,2013-2017,18.65,4.37
2292,2012,UTAH,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75,Real GDP,Trump,Donald Trump,2017-2021,22.3,5.19
2298,2012,UTAH,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,72.79,"OBAMA, BARACK H.",DEMOCRAT,24.75,Real GDP,Biden,Joe Biden,2021-2023,7.13,3.51
2304,2012,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97,Real GDP,Obama 1,Barack Obama,2009-2013,6.52,1.61
2310,2012,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97,Real GDP,Obama 2,Barack Obama,2013-2017,3.48,0.86
2316,2012,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,66.57,"ROMNEY, MITT",REPUBLICAN,30.97,Real GDP,Trump,Donald Trump,2017-2021,3.48,0.9
