State,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
Georgia,Total Employment,Obama 2,Barack Obama,2013-2017,11.48,2.75
Hawaii,Real GDP,Obama 2,Barack Obama,2013-2017,8.57,2.08
Hawaii,Real Personal Income,Obama 2,Barack Obama,2013-2017,15.83,3.75
Hawaii,Real PCE,Obama 2,Barack Obama,2013-2017,11.09,2.67
Hawaii,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.04,3.12
Hawaii,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.41,2.04
Hawaii,Total Employment,Obama 2,Barack Obama,2013-2017,6.1,1.49
Idaho,Real GDP,Obama 2,Barack Obama,2013-2017,12.61,3.02
Idaho,Real Personal Income,Obama 2,Barack Obama,2013-2017,17.5,4.12
Idaho,Real PCE,Obama 2,Barack Obama,2013-2017,13.95,3.33
Idaho,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.64,2.33
Idaho,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.33,1.56
Idaho,Total Employment,Obama 2,Barack Obama,2013-2017,11.61,2.78
Illinois,Real GDP,Obama 2,Barack Obama,2013-2017,4.7,1.16
Illinois,Real Personal Income,Obama 2,Barack Obama,2013-2017,8.49,2.08
Illinois,Real PCE,Obama 2,Barack Obama,2013-2017,8.46,2.06
Illinois,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.8,2.15
Illinois,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.77,2.13
Illinois,Total Employment,Obama 2,Barack Obama,2013-2017,4.26,1.05
Indiana,Real GDP,Obama 2,Barack Obama,2013-2017,7.3,1.79
Indiana,Real Personal Income,Obama 2,Barack Obama,2013-2017,12.56,3.01
Indiana,Real PCE,Obama 2,Barack Obama,2013-2017,12.76,3.05
Indiana,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.8,2.6
Indiana,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,11.0,2.64
Indiana,Total Employment,Obama 2,Barack Obama,2013-2017,5.95,1.46
Iowa,Real GDP,Obama 2,Barack Obama,2013-2017,9.39,2.29
Iowa,Real Personal Income,Obama 2,Barack Obama,2013-2017,8.29,2.03
Iowa,Real PCE,Obama 2,Barack Obama,2013-2017,10.6,2.55
Iowa,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,6.22,1.54
Iowa,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.49,2.06
Iowa,Total Employment,Obama 2,Barack Obama,2013-2017,2.1,0.52
Kansas,Real GDP,Obama 2,Barack Obama,2013-2017,10.33,2.49
Kansas,Real Personal Income,Obama 2,Barack Obama,2013-2017,3.44,0.85
Kansas,Real PCE,Obama 2,Barack Obama,2013-2017,8.01,1.95
Kansas,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,2.53,0.63
Kansas,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.06,1.72
Kansas,Total Employment,Obama 2,Barack Obama,2013-2017,2.38,0.59
Kentucky,Real GDP,Obama 2,Barack Obama,2013-2017,3.49,0.86
Kentucky,Real Personal Income,Obama 2,Barack Obama,2013-2017,10.8,2.61
Kentucky,Real PCE,Obama 2,Barack Obama,2013-2017,10.83,2.61
Kentucky,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.32,2.26
Kentucky,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.35,2.26
Kentucky,Total Employment,Obama 2,Barack Obama,2013-2017,4.67,1.15
Louisiana,Real GDP,Obama 2,Barack Obama,2013-2017,1.42,0.37
Louisiana,Real Personal Income,Obama 2,Barack Obama,2013-2017,3.37,0.85
Louisiana,Real PCE,Obama 2,Barack Obama,2013-2017,8.06,1.96
Louisiana,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,2.25,0.58
Louisiana,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.9,1.69
Louisiana,Total Employment,Obama 2,Barack Obama,2013-2017,1.91,0.48
Maine,Real GDP,Obama 2,Barack Obama,2013-2017,6.76,1.65
Maine,Real Personal Income,Obama 2,Barack Obama,2013-2017,12.08,2.94
Maine,Real PCE,Obama 2,Barack Obama,2013-2017,11.27,2.74
Maine,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,11.06,2.7
Maine,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,10.26,2.5
Maine,Total Employment,Obama 2,Barack Obama,2013-2017,3.82,0.94
Maryland,Real GDP,Obama 2,Barack Obama,2013-2017,9.62,2.33
Maryland,Real Personal Income,Obama 2,Barack Obama,2013-2017,12.24,2.93
Maryland,Real PCE,Obama 2,Barack Obama,2013-2017,8.76,2.12
Maryland,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.47,2.29
Maryland,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.08,1.49
Maryland,Total Employment,Obama 2,Barack Obama,2013-2017,5.81,1.42
Massachusetts,Real GDP,Obama 2,Barack Obama,2013-2017,8.86,2.15
Massachusetts,Real Personal Income,Obama 2,Barack Obama,2013-2017,11.97,2.89
Massachusetts,Real PCE,Obama 2,Barack Obama,2013-2017,7.79,1.91
Massachusetts,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.72,2.14
Massachusetts,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.66,1.16
Massachusetts,Total Employment,Obama 2,Barack Obama,2013-2017,9.76,2.36
Michigan,Real GDP,Obama 2,Barack Obama,2013-2017,6.84,1.67
Michigan,Real Personal Income,Obama 2,Barack Obama,2013-2017,14.64,3.5
Michigan,Real PCE,Obama 2,Barack Obama,2013-2017,14.21,3.38
Michigan,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.47,3.23
Michigan,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,13.04,3.12
Michigan,Total Employment,Obama 2,Barack Obama,2013-2017,5.79,1.42
Minnesota,Real GDP,Obama 2,Barack Obama,2013-2017,7.56,1.84
Minnesota,Real Personal Income,Obama 2,Barack Obama,2013-2017,13.19,3.16
Minnesota,Real PCE,Obama 2,Barack Obama,2013-2017,11.08,2.66
Minnesota,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.66,2.34
Minnesota,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.61,1.85
Minnesota,Total Employment,Obama 2,Barack Obama,2013-2017,5.07,1.24
Mississippi,Real GDP,Obama 2,Barack Obama,2013-2017,1.15,0.29
Mississippi,Real Personal Income,Obama 2,Barack Obama,2013-2017,4.34,1.07
Mississippi,Real PCE,Obama 2,Barack Obama,2013-2017,6.94,1.7
Mississippi,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,4.45,1.1
Mississippi,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.06,1.72
Mississippi,Total Employment,Obama 2,Barack Obama,2013-2017,3.89,0.96
Missouri,Real GDP,Obama 2,Barack Obama,2013-2017,3.06,0.76
Missouri,Real Personal Income,Obama 2,Barack Obama,2013-2017,9.57,2.32
Missouri,Real PCE,Obama 2,Barack Obama,2013-2017,8.84,2.15
Missouri,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.32,2.03
Missouri,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.6,1.85
Missouri,Total Employment,Obama 2,Barack Obama,2013-2017,4.77,1.17
Montana,Real GDP,Obama 2,Barack Obama,2013-2017,7.44,1.83
Montana,Real Personal Income,Obama 2,Barack Obama,2013-2017,11.22,2.7
Montana,Real PCE,Obama 2,Barack Obama,2013-2017,8.05,1.96
Montana,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,6.8,1.66
Montana,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,3.76,0.93
Montana,Total Employment,Obama 2,Barack Obama,2013-2017,5.04,1.24
Nebraska,Real GDP,Obama 2,Barack Obama,2013-2017,10.63,2.56
Nebraska,Real Personal Income,Obama 2,Barack Obama,2013-2017,9.24,2.27
Nebraska,Real PCE,Obama 2,Barack Obama,2013-2017,11.95,2.86
Nebraska,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,5.79,1.45
Nebraska,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.42,2.04
Nebraska,Total Employment,Obama 2,Barack Obama,2013-2017,4.06,1.0
Nevada,Real GDP,Obama 2,Barack Obama,2013-2017,12.9,3.09
Nevada,Real Personal Income,Obama 2,Barack Obama,2013-2017,22.22,5.17
Nevada,Real PCE,Obama 2,Barack Obama,2013-2017,16.34,3.86
Nevada,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.55,3.48
Nevada,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.03,2.19
Nevada,Total Employment,Obama 2,Barack Obama,2013-2017,14.05,3.34
New Hampshire,Real GDP,Obama 2,Barack Obama,2013-2017,7.52,1.83
New Hampshire,Real Personal Income,Obama 2,Barack Obama,2013-2017,9.26,2.24
New Hampshire,Real PCE,Obama 2,Barack Obama,2013-2017,6.97,1.7
New Hampshire,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.02,1.71
New Hampshire,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.77,1.18
New Hampshire,Total Employment,Obama 2,Barack Obama,2013-2017,5.68,1.39
New Jersey,Real GDP,Obama 2,Barack Obama,2013-2017,3.35,0.83
New Jersey,Real Personal Income,Obama 2,Barack Obama,2013-2017,10.87,2.62
New Jersey,Real PCE,Obama 2,Barack Obama,2013-2017,7.41,1.8
New Jersey,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.57,2.08
New Jersey,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.18,1.27
New Jersey,Total Employment,Obama 2,Barack Obama,2013-2017,6.15,1.5
New Mexico,Real GDP,Obama 2,Barack Obama,2013-2017,3.45,0.86
New Mexico,Real Personal Income,Obama 2,Barack Obama,2013-2017,7.87,1.93
New Mexico,Real PCE,Obama 2,Barack Obama,2013-2017,6.51,1.6
New Mexico,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.64,1.88
New Mexico,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.28,1.54
New Mexico,Total Employment,Obama 2,Barack Obama,2013-2017,1.85,0.46
New York,Real GDP,Obama 2,Barack Obama,2013-2017,8.19,1.99
New York,Real Personal Income,Obama 2,Barack Obama,2013-2017,14.32,3.41
New York,Real PCE,Obama 2,Barack Obama,2013-2017,11.25,2.71
New York,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,12.63,3.02
New York,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.6,2.32
New York,Total Employment,Obama 2,Barack Obama,2013-2017,6.65,1.62
North Carolina,Real GDP,Obama 2,Barack Obama,2013-2017,9.92,2.39
North Carolina,Real Personal Income,Obama 2,Barack Obama,2013-2017,16.36,3.87
North Carolina,Real PCE,Obama 2,Barack Obama,2013-2017,13.77,3.28
North Carolina,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,12.11,2.91
North Carolina,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.61,2.32
North Carolina,Total Employment,Obama 2,Barack Obama,2013-2017,8.87,2.15
North Dakota,Real GDP,Obama 2,Barack Obama,2013-2017,3.36,1.03
North Dakota,Real Personal Income,Obama 2,Barack Obama,2013-2017,0.34,0.16
North Dakota,Real PCE,Obama 2,Barack Obama,2013-2017,8.18,2.02
North Dakota,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,-4.8,-1.15
North Dakota,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,2.64,0.67
North Dakota,Total Employment,Obama 2,Barack Obama,2013-2017,-2.33,-0.56
Ohio,Real GDP,Obama 2,Barack Obama,2013-2017,8.15,1.98
Ohio,Real Personal Income,Obama 2,Barack Obama,2013-2017,11.28,2.72
Ohio,Real PCE,Obama 2,Barack Obama,2013-2017,10.38,2.5
Ohio,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.09,2.44
Ohio,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.19,2.23
Ohio,Total Employment,Obama 2,Barack Obama,2013-2017,4.58,1.13
Oklahoma,Real GDP,Obama 2,Barack Obama,2013-2017,9.34,2.3
Oklahoma,Real Personal Income,Obama 2,Barack Obama,2013-2017,-1.12,-0.2
Oklahoma,Real PCE,Obama 2,Barack Obama,2013-2017,6.72,1.64
Oklahoma,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,-2.95,-0.66
Oklahoma,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.76,1.17
Oklahoma,Total Employment,Obama 2,Barack Obama,2013-2017,1.91,0.47
Oregon,Real GDP,Obama 2,Barack Obama,2013-2017,18.95,4.44
Oregon,Real Personal Income,Obama 2,Barack Obama,2013-2017,20.53,4.79
Oregon,Real PCE,Obama 2,Barack Obama,2013-2017,16.45,3.88
Oregon,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.05,3.35
Oregon,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,10.18,2.46
Oregon,Total Employment,Obama 2,Barack Obama,2013-2017,11.31,2.72
Pennsylvania,Real GDP,Obama 2,Barack Obama,2013-2017,7.12,1.73
Pennsylvania,Real Personal Income,Obama 2,Barack Obama,2013-2017,7.82,1.91
Pennsylvania,Real PCE,Obama 2,Barack Obama,2013-2017,5.37,1.32
Pennsylvania,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.0,1.71
Pennsylvania,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.57,1.12
Pennsylvania,Total Employment,Obama 2,Barack Obama,2013-2017,4.25,1.05
Rhode Island,Real GDP,Obama 2,Barack Obama,2013-2017,3.04,0.75
Rhode Island,Real Personal Income,Obama 2,Barack Obama,2013-2017,7.86,1.91
Rhode Island,Real PCE,Obama 2,Barack Obama,2013-2017,7.53,1.84
Rhode Island,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,6.19,1.52
Rhode Island,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.87,1.44
Rhode Island,Total Employment,Obama 2,Barack Obama,2013-2017,6.06,1.48
South Carolina,Real GDP,Obama 2,Barack Obama,2013-2017,12.39,2.96
South Carolina,Real Personal Income,Obama 2,Barack Obama,2013-2017,19.02,4.45
South Carolina,Real PCE,Obama 2,Barack Obama,2013-2017,13.48,3.21
South Carolina,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.61,3.25
South Carolina,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.33,2.02
South Carolina,Total Employment,Obama 2,Barack Obama,2013-2017,10.32,2.49
South Dakota,Real GDP,Obama 2,Barack Obama,2013-2017,6.18,1.51
South Dakota,Real Personal Income,Obama 2,Barack Obama,2013-2017,12.66,3.04
South Dakota,Real PCE,Obama 2,Barack Obama,2013-2017,14.95,3.55
South Dakota,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.91,2.18
South Dakota,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,11.13,2.68
South Dakota,Total Employment,Obama 2,Barack Obama,2013-2017,3.44,0.85
Tennessee,Real GDP,Obama 2,Barack Obama,2013-2017,11.64,2.79
Tennessee,Real Personal Income,Obama 2,Barack Obama,2013-2017,12.62,3.03
Tennessee,Real PCE,Obama 2,Barack Obama,2013-2017,12.11,2.9
Tennessee,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.75,2.13
Tennessee,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.26,2.0
Tennessee,Total Employment,Obama 2,Barack Obama,2013-2017,9.31,2.25
Texas,Real GDP,Obama 2,Barack Obama,2013-2017,10.29,2.49
Texas,Real Personal Income,Obama 2,Barack Obama,2013-2017,12.51,3.03
Texas,Real PCE,Obama 2,Barack Obama,2013-2017,15.78,3.73
Texas,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,5.51,1.39
Texas,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.57,2.08
Texas,Total Employment,Obama 2,Barack Obama,2013-2017,10.12,2.44
Utah,Real GDP,Obama 2,Barack Obama,2013-2017,18.65,4.37
Utah,Real Personal Income,Obama 2,Barack Obama,2013-2017,22.67,5.26
Utah,Real PCE,Obama 2,Barack Obama,2013-2017,20.31,4.74
Utah,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.12,3.38
Utah,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,11.93,2.86
Utah,Total Employment,Obama 2,Barack Obama,2013-2017,13.8,3.28
Vermont,Real GDP,Obama 2,Barack Obama,2013-2017,3.48,0.86
Vermont,Real Personal Income,Obama 2,Barack Obama,2013-2017,7.01,1.73
Vermont,Real PCE,Obama 2,Barack Obama,2013-2017,4.83,1.21
Vermont,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,5.96,1.48
Vermont,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,3.8,0.96
Vermont,Total Employment,Obama 2,Barack Obama,2013-2017,2.56,0.63
Virginia,Real GDP,Obama 2,Barack Obama,2013-2017,5.41,1.33
Virginia,Real Personal Income,Obama 2,Barack Obama,2013-2017,13.7,3.26
Virginia,Real PCE,Obama 2,Barack Obama,2013-2017,9.04,2.19
Virginia,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.58,2.55
Virginia,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.06,1.48
Virginia,Total Employment,Obama 2,Barack Obama,2013-2017,6.75,1.65
Washington,Real GDP,Obama 2,Barack Obama,2013-2017,19.96,4.66
Washington,Real Personal Income,Obama 2,Barack Obama,2013-2017,16.85,3.97
Washington,Real PCE,Obama 2,Barack Obama,2013-2017,11.59,2.78
Washington,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.44,2.29
Washington,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.51,1.11
Washington,Total Employment,Obama 2,Barack Obama,2013-2017,11.04,2.65
West Virginia,Real GDP,Obama 2,Barack Obama,2013-2017,1.65,0.42
West Virginia,Real Personal Income,Obama 2,Barack Obama,2013-2017,5.57,1.37
West Virginia,Real PCE,Obama 2,Barack Obama,2013-2017,6.55,1.6
West Virginia,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.53,1.84
West Virginia,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.53,2.07
West Virginia,Total Employment,Obama 2,Barack Obama,2013-2017,-2.78,-0.7
Wisconsin,Real GDP,Obama 2,Barack Obama,2013-2017,6.74,1.65
Wisconsin,Real Personal Income,Obama 2,Barack Obama,2013-2017,10.45,2.53
Wisconsin,Real PCE,Obama 2,Barack Obama,2013-2017,9.63,2.32
Wisconsin,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,8.95,2.18
Wisconsin,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.14,1.98
Wisconsin,Total Employment,Obama 2,Barack Obama,2013-2017,3.95,0.97
Wyoming,Real GDP,Obama 2,Barack Obama,2013-2017,-2.05,-0.47
Wyoming,Real Personal Income,Obama 2,Barack Obama,2013-2017,1.66,0.51
Wyoming,Real PCE,Obama 2,Barack Obama,2013-2017,4.63,1.15
Wyoming,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,2.48,0.72
Wyoming,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.47,1.35
Wyoming,Total Employment,Obama 2,Barack Obama,2013-2017,-0.39,-0.09
United States,Real GDP,Trump,Donald Trump,2017-2021,9.6,2.36
United States,Real Personal Income,Trump,Donald Trump,2017-2021,17.9,4.21
United States,Real PCE,Trump,Donald Trump,2017-2021,11.26,2.78
United States,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,15.98,3.78
United States,Real Per Capita PCE,Trump,Donald Trump,2017-2021,9.44,2.36
United States,Total Employment,Trump,Donald Trump,2017-2021,3.21,0.83
Alabama,Real GDP,Trump,Donald Trump,2017-2021,7.9,1.94
Alabama,Real Personal Income,Trump,Donald Trump,2017-2021,20.87,4.87
Alabama,Real PCE,Trump,Donald Trump,2017-2021,14.18,3.42
Alabama,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,18.52,4.35
Alabama,Real Per Capita PCE,Trump,Donald Trump,2017-2021,11.97,2.92
Alabama,Total Employment,Trump,Donald Trump,2017-2021,4.53,1.13
Alaska,Real GDP,Trump,Donald Trump,2017-2021,-3.92,-0.97
Alaska,Real Personal Income,Trump,Donald Trump,2017-2021,5.5,1.36
Alaska,Real PCE,Trump,Donald Trump,2017-2021,4.57,1.19
Alaska,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,6.51,1.61
Alaska,Real Per Capita PCE,Trump,Donald Trump,2017-2021,5.57,1.42
Alaska,Total Employment,Trump,Donald Trump,2017-2021,-2.75,-0.65
Arizona,Real GDP,Trump,Donald Trump,2017-2021,18.59,4.38
Arizona,Real Personal Income,Trump,Donald Trump,2017-2021,29.55,6.71
Arizona,Real PCE,Trump,Donald Trump,2017-2021,20.52,4.9
Arizona,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,22.56,5.24
Arizona,Real Per Capita PCE,Trump,Donald Trump,2017-2021,14.01,3.47
Arizona,Total Employment,Trump,Donald Trump,2017-2021,9.22,2.24
Arkansas,Real GDP,Trump,Donald Trump,2017-2021,10.96,2.67
Arkansas,Real Personal Income,Trump,Donald Trump,2017-2021,18.16,4.3
Arkansas,Real PCE,Trump,Donald Trump,2017-2021,11.25,2.75
Arkansas,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,16.69,3.97
Arkansas,Real Per Capita PCE,Trump,Donald Trump,2017-2021,9.87,2.43
Arkansas,Total Employment,Trump,Donald Trump,2017-2021,2.72,0.69
California,Real GDP,Trump,Donald Trump,2017-2021,15.09,3.62
California,Real Personal Income,Trump,Donald Trump,2017-2021,19.28,4.52
California,Real PCE,Trump,Donald Trump,2017-2021,11.99,3.0
California,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,20.13,4.71
California,Real Per Capita PCE,Trump,Donald Trump,2017-2021,12.79,3.19
California,Total Employment,Trump,Donald Trump,2017-2021,1.63,0.45
Colorado,Real GDP,Trump,Donald Trump,2017-2021,16.06,3.83
Colorado,Real Personal Income,Trump,Donald Trump,2017-2021,26.19,6.01
Colorado,Real PCE,Trump,Donald Trump,2017-2021,17.03,4.15
Colorado,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,21.6,5.04
Colorado,Real Per Capita PCE,Trump,Donald Trump,2017-2021,12.77,3.19
Colorado,Total Employment,Trump,Donald Trump,2017-2021,6.03,1.5
Connecticut,Real GDP,Trump,Donald Trump,2017-2021,-1.47,-0.32
Connecticut,Real Personal Income,Trump,Donald Trump,2017-2021,12.94,3.11
Connecticut,Real PCE,Trump,Donald Trump,2017-2021,11.02,2.76
Connecticut,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.06,3.13
Connecticut,Real Per Capita PCE,Trump,Donald Trump,2017-2021,11.14,2.76
Connecticut,Total Employment,Trump,Donald Trump,2017-2021,-0.47,-0.09
Delaware,Real GDP,Trump,Donald Trump,2017-2021,7.33,1.83
Delaware,Real Personal Income,Trump,Donald Trump,2017-2021,15.66,3.71
Delaware,Real PCE,Trump,Donald Trump,2017-2021,12.47,3.05
Delaware,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,10.66,2.57
Delaware,Real Per Capita PCE,Trump,Donald Trump,2017-2021,7.61,1.92
Delaware,Total Employment,Trump,Donald Trump,2017-2021,6.08,1.51
District of Columbia,Real GDP,Trump,Donald Trump,2017-2021,6.58,1.62
District of Columbia,Real Personal Income,Trump,Donald Trump,2017-2021,9.34,2.26
District of Columbia,Real PCE,Trump,Donald Trump,2017-2021,6.16,1.68
District of Columbia,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,11.28,2.73
District of Columbia,Real Per Capita PCE,Trump,Donald Trump,2017-2021,8.06,2.08
District of Columbia,Total Employment,Trump,Donald Trump,2017-2021,-3.67,-0.89
Florida,Real GDP,Trump,Donald Trump,2017-2021,15.34,3.7
Florida,Real Personal Income,Trump,Donald Trump,2017-2021,22.65,5.24
Florida,Real PCE,Trump,Donald Trump,2017-2021,16.31,3.95
Florida,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,17.26,4.06
Florida,Real Per Capita PCE,Trump,Donald Trump,2017-2021,11.2,2.79
Florida,Total Employment,Trump,Donald Trump,2017-2021,11.23,2.72
Georgia,Real GDP,Trump,Donald Trump,2017-2021,10.19,2.51
Georgia,Real Personal Income,Trump,Donald Trump,2017-2021,18.15,4.26
Georgia,Real PCE,Trump,Donald Trump,2017-2021,13.57,3.3
Georgia,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,14.19,3.38
Georgia,Real Per Capita PCE,Trump,Donald Trump,2017-2021,9.76,2.43
Georgia,Total Employment,Trump,Donald Trump,2017-2021,8.33,2.04
Hawaii,Real GDP,Trump,Donald Trump,2017-2021,-3.46,-0.7
Hawaii,Real Personal Income,Trump,Donald Trump,2017-2021,8.02,1.96
Hawaii,Real PCE,Trump,Donald Trump,2017-2021,5.7,1.54
Hawaii,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,8.89,2.16
Hawaii,Real Per Capita PCE,Trump,Donald Trump,2017-2021,6.55,1.74
Hawaii,Total Employment,Trump,Donald Trump,2017-2021,-6.56,-1.51
Idaho,Real GDP,Trump,Donald Trump,2017-2021,21.98,5.12
Idaho,Real Personal Income,Trump,Donald Trump,2017-2021,39.78,8.75
Idaho,Real PCE,Trump,Donald Trump,2017-2021,26.68,6.17
Idaho,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,27.27,6.23
Idaho,Real Per Capita PCE,Trump,Donald Trump,2017-2021,15.34,3.7
Idaho,Total Employment,Trump,Donald Trump,2017-2021,12.81,3.07
Illinois,Real GDP,Trump,Donald Trump,2017-2021,2.77,0.77
Illinois,Real Personal Income,Trump,Donald Trump,2017-2021,12.02,2.88
Illinois,Real PCE,Trump,Donald Trump,2017-2021,5.98,1.53
Illinois,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,14.09,3.35
Illinois,Real Per Capita PCE,Trump,Donald Trump,2017-2021,7.94,2.0
Illinois,Total Employment,Trump,Donald Trump,2017-2021,-0.94,-0.2
Indiana,Real GDP,Trump,Donald Trump,2017-2021,8.28,2.08
Indiana,Real Personal Income,Trump,Donald Trump,2017-2021,17.95,4.25
Indiana,Real PCE,Trump,Donald Trump,2017-2021,8.69,2.14
Indiana,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,15.74,3.76
Indiana,Real Per Capita PCE,Trump,Donald Trump,2017-2021,6.65,1.66
Indiana,Total Employment,Trump,Donald Trump,2017-2021,1.91,0.5
Iowa,Real GDP,Trump,Donald Trump,2017-2021,7.49,1.89
Iowa,Real Personal Income,Trump,Donald Trump,2017-2021,14.8,3.57
Iowa,Real PCE,Trump,Donald Trump,2017-2021,6.3,1.62
Iowa,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,13.53,3.28
Iowa,Real Per Capita PCE,Trump,Donald Trump,2017-2021,5.12,1.34
Iowa,Total Employment,Trump,Donald Trump,2017-2021,-0.29,-0.05
Kansas,Real GDP,Trump,Donald Trump,2017-2021,3.91,0.98
Kansas,Real Personal Income,Trump,Donald Trump,2017-2021,12.96,3.11
Kansas,Real PCE,Trump,Donald Trump,2017-2021,7.25,1.82
Kansas,Real Per Capita Personal Income,Trump,Donald Trump,2017-2021,12.55,3.01
